Source;Symbol;ChangePerc;ClosePrice;OpenPrice;ChangeInDollars;Volume;HighPrice;LowPrice;PreviousClose;YearHigh;YearLow;NShares;PE;MarketCap;Yield;DividendYield;EPS
msn-money;cost;+0.37%;81.54;81.50;+0.30;2.07 mil;81.70;81.04;81.24;83.95;53.41;437.81 mil;25.56;35.57 bil;1.18%;0.96;3.20
nasdaq-com;cost;0.37%;$ 81.54;$ 81.50;0.30;2,073,601;$ 81.70;$ 81.04;$ 81.24;$ 83.95;$ 53.41;436,860,000;25.48;$ 35,621,564,400;1.18 %;$0.960000;$ 3.20
yahoo-finance;cost;0.37%;81.54;81.51;0.30;2,073,101;81.70;81.04;81.24;83.95;53.41;;25.47;35.70b;1.20%;0.96;3.20
bloomberg;aapl;2.261%;343.260;335.950;7.590;15,450,575;343.500;334.200;;364.90;235.56;924.755mil;16.358;317,375.800mil;;;20.980
google-finance;aapl;(2.26%);343.26;335.95;+7.59;15.45m;343.50;334.20;;364.90;235.56;921.28m;16.36;316.24b;;;20.98
msn-money;aapl;+2.26%;343.26;335.95;+7.59;15.45 mil;343.50;334.20;335.67;364.90;235.56;924.75 mil;16.36;310.41 bil;;;20.98
nasdaq-com;aapl;2.26%;$ 343.26;$ 335.95;7.59;15,447,286;$ 343.50;$ 334.20;$ 335.67;$ 364.90;$ 235.56;924,755,000;16.36;$ 317,431,401,300;;;$ 20.98
yahoo-finance;aapl;2.26%;343.26;335.94;7.59;15,446,986;343.46;334.20;335.67;364.90;235.56;;16.35;317.43b;;;20.99
bloomberg;goog;2.893%;521.028;506.740;14.648;3,594,575;521.180;506.380;;642.96;433.63;252.993mil;20.212;167,818.300mil;;;25.750
google-finance;goog;(2.89%);521.03;506.74;+14.65;3.59m;521.18;506.38;;642.96;433.63;322.25m;20.24;167.90b;;;25.75
msn-money;goog;+2.89%;521.03;506.74;+14.65;3.59 mil;521.18;506.38;506.38;642.96;433.63;322.25 mil;20.23;163.18 bil;;;25.75
nasdaq-com;goog;2.89%;$ 521.028;$ 506.74;14.648;3,594,065;$ 521.18;$ 506.38;$ 506.38;$ 642.96;$ 433.63;252,993,000;19.1;$ 131,816,436,804;;;$ 27.28
yahoo-finance;goog;2.89%;521.03;506.56;14.65;3,593,365;521.03;506.38;506.38;642.96;433.63;;20.23;167.90b;;;25.75
bloomberg;infy;1.288%;66.070;65.600;840;1,123,894;66.140;65.260;;77.92;56.17;574.188mil;24.641;37,936.580mil;2.045;0.425 regular cash;119.665
google-finance;infy;(1.29%);66.07;65.60;+0.84;1.12m;66.14;65.26;;77.92;56.73;571.30m;25.18;37.75b;1.01;0.44;2.62
msn-money;infy;+1.29%;66.07;65.60;+0.84;1.12 mil;66.14;65.26;65.23;77.92;56.73;571.32 mil;25.22;37.07 bil;1.03%;0.67;2.62
nasdaq-com;infy;1.29%;$ 66.07;$ 65.60;0.84;1,123,894;$ 66.14;$ 65.26;$ 65.23;$ 77.92;$ 56.73;571,318,000;25.31;$ 37,746,980,260;;;$ 2.61
yahoo-finance;infy;1.29%;66.07;65.63;0.84;1,123,894;66.14;65.27;65.23;77.92;56.73;;25.22;37.75b;1.30%;0.85;2.62
bloomberg;flir;1.454%;34.200;33.580;490;1,056,852;34.280;33.340;;37.29;24.00;159.683mil;22.353;5,461.143mil;351;0.060 regular cash;1.530
google-finance;flir;(1.45%);34.20;33.58;+0.49;1.06m;34.28;33.34;;37.29;24.00;159.68m;22.59;5.46b;0.70;0.06;1.51
msn-money;flir;+1.45%;34.20;33.58;+0.49;1.06 mil;34.28;33.34;33.71;37.29;24.00;159.68 mil;22.65;5.38 bil;0.71%;0.24;1.51
nasdaq-com;flir;1.45%;$ 34.20;$ 33.58;0.49;1,056,852;$ 34.28;$ 33.34;$ 33.71;$ 37.29;$ 24;159,683,000;22.65;$ 5,461,158,600;0.71 %;$0.240000;$ 1.51
yahoo-finance;flir;1.45%;34.20;33.43;0.49;1,056,852;34.28;33.34;33.71;37.29;24.00;;22.72;5.46b;0.70%;0.24;1.51
bloomberg;gmcr;1.221%;90.350;89.610;1.090;1,174,196;90.940;89.160;;90.94;24.84;150.388mil;91.263;13,587.550mil;;;990
google-finance;gmcr;(1.22%);90.35;89.61;+1.09;1.17m;90.94;89.16;;90.94;24.84;142.04m;114.65;12.83b;;;0.79
msn-money;gmcr;+1.22%;90.35;89.61;+1.09;1.17 mil;90.94;89.16;89.26;90.01;24.84;150.39 mil;114.37;13.42 bil;;;0.79
nasdaq-com;gmcr;1.22%;$ 90.35;$ 89.61;1.09;1,174,196;$ 90.94;$ 89.16;$ 89.26;$ 90.01;$ 24.84;152,785,000;114.37;$ 13,804,124,750;;;$ 0.79
yahoo-finance;gmcr;1.22%;90.35;89.61;1.09;1,174,096;90.94;89.16;89.26;90.94;24.84;;113.79;12.83b;;;0.79
bloomberg;lrcx;2.236%;45.270;44.320;990;1,518,831;45.650;43.899;;59.10;35.39;124.491mil;7.621;5,635.696mil;;;5.940
google-finance;lrcx;(2.24%);45.27;44.32;+0.99;1.52m;45.65;43.90;;59.10;35.39;124.49m;7.71;5.64b;;;5.88
msn-money;lrcx;+2.24%;45.27;44.32;+0.99;1.52 mil;45.65;43.90;44.28;59.10;35.39;124.49 mil;7.70;5.51 bil;;;5.88
nasdaq-com;lrcx;2.24%;$ 45.27;$ 44.32;0.99;1,518,071;$ 45.65;$ 43.8992;$ 44.28;$ 59.10;$ 35.39;124,491,000;7.7;$ 5,635,707,570;;;$ 5.88
yahoo-finance;lrcx;2.24%;45.27;44.39;0.99;1,517,971;45.65;43.92;44.28;59.10;35.39;;7.70;5.64b;;;5.88
bloomberg;xray;1.155%;38.520;38.190;440;2,793,472;38.540;37.920;;40.16;27.76;140.775mil;19.958;5,422.671mil;519;0.050 regular cash;1.930
google-finance;xray;(1.16%);38.52;38.19;+0.44;2.79m;38.54;37.92;;40.16;27.76;140.78m;20.43;5.42b;0.52;0.05;1.89
msn-money;xray;+1.16%;38.52;38.19;+0.44;2.79 mil;38.54;37.92;38.08;40.16;27.76;140.78 mil;20.38;5.36 bil;0.53%;0.20;1.89
nasdaq-com;xray;1.16%;$ 38.52;$ 38.19;0.44;2,793,472;$ 38.54;$ 37.92;$ 38.08;$ 40.16;$ 27.76;140,775,000;20.49;$ 5,422,653,000;0.53 %;$0.200000;$ 1.88
yahoo-finance;xray;1.16%;38.52;38.08;0.44;2,792,972;38.54;37.92;38.08;40.16;27.76;;20.37;5.42b;0.50%;0.20;1.89
bloomberg;chrw;2.258%;80.620;79.100;1.780;971,143;80.990;78.843;;82.05;54.50;165.564mil;33.314;13,347.740mil;1.388;0.290 regular cash;2.420
google-finance;chrw;(2.26%);80.62;79.10;+1.78;971,143.00;80.99;78.84;;82.05;54.50;165.56m;33.41;13.35b;1.44;0.29;2.41
msn-money;chrw;+2.26%;80.62;79.10;+1.78;971,143;80.99;78.84;78.84;82.05;54.50;165.56 mil;33.31;13.05 bil;1.47%;1.16;2.41
nasdaq-com;chrw;2.26%;$ 80.62;$ 79.10;1.78;971,143;$ 80.99;$ 78.8426;$ 78.84;$ 82.05;$ 54.50;165,564,000;33.31;$ 13,347,769,680;1.47 %;$1.160000;$ 2.42
yahoo-finance;chrw;2.26%;80.62;79.10;1.78;971,043;80.99;78.84;78.84;82.05;54.50;;33.31;13.35b;1.50%;1.16;2.42
bloomberg;adbe;254%;31.530;31.330;80;4,109,935;31.650;31.240;;35.99;25.45;493.867mil;17.614;15,571.610mil;;;1.790
google-finance;adbe;(0.25%);31.53;31.33;+0.08;4.11m;31.65;31.24;;35.99;25.45;504.46m;16.82;15.91b;;;1.87
msn-money;adbe;+0.25%;31.53;31.33;+0.08;4.11 mil;31.65;31.24;31.45;35.99;25.45;493.87 mil;16.95;15.53 bil;;;1.88
nasdaq-com;adbe;0.25%;$ 31.53;$ 31.33;0.08;4,107,435;$ 31.65;$ 31.24;$ 31.45;$ 35.99;$ 25.45;504,459,000;16.77;$ 15,905,592,270;;;$ 1.88
yahoo-finance;adbe;0.25%;31.53;31.35;0.08;4,106,835;31.65;31.24;31.45;35.99;25.45;;16.89;15.76b;;;1.87
bloomberg;fisv;1.780%;63.745;62.770;1.115;717,087;64.000;62.380;;64.89;44.85;143.611mil;18.213;9,154.494mil;;;3.500
google-finance;fisv;(1.78%);63.74;62.77;+1.11;717,087.00;64.00;62.38;;64.89;44.85;143.61m;19.28;9.15b;;;3.31
msn-money;fisv;+1.78%;63.75;62.77;+1.11;717,087;64.00;62.38;62.63;64.89;44.85;143.61 mil;19.26;8.99 bil;;;3.24
nasdaq-com;fisv;1.78%;$ 63.745;$ 62.77;1.115;717,087;$ 64;$ 62.38;$ 62.63;$ 64.89;$ 44.85;143,611,000;19.67;$ 9,154,483,195;;;$ 3.24
yahoo-finance;fisv;1.78%;63.74;62.76;1.11;716,887;64.00;62.38;62.63;64.89;44.85;;19.64;9.15b;;;3.25
bloomberg;wfm;1.513%;64.410;63.690;960;1,124,267;64.410;63.380;;66.87;33.96;175.713mil;36.597;11,317.660mil;466;0.100 regular cash;1.760
google-finance;wfm;(1.51%);64.41;63.69;+0.96;1.12m;64.41;63.38;;66.87;33.96;173.56m;37.23;11.18b;0.62;0.10;1.73
msn-money;wfm;+1.51%;64.41;63.69;+0.96;1.12 mil;64.41;63.38;63.45;66.87;33.96;175.71 mil;37.23;11.15 bil;0.63%;0.40;1.73
nasdaq-com;wfm;1.51%;$ 64.41;$ 63.69;0.96;1,124,067;$ 64.41;$ 63.38;$ 63.45;$ 66.87;$ 33.96;175,713,000;37.23;$ 11,317,674,330;0.63 %;$0.400000;$ 1.73
yahoo-finance;wfm;1.50%;64.40;63.69;0.95;1,124,067;64.41;63.38;63.45;66.87;33.96;;37.08;11.32b;0.60%;0.40;1.74
bloomberg;erts;2.500%;24.190;23.570;590;4,768,735;24.200;23.400;;24.79;14.06;332.448mil;;8,041.913mil;;;-550
google-finance;erts;(2.50%);24.19;23.57;+0.59;4.77m;24.20;23.40;;24.79;14.06;332.45m;;8.04b;;;-0.84
msn-money;erts;+2.50%;24.19;23.57;+0.59;4.77 mil;24.20;23.40;23.60;24.79;14.06;331.35 mil;-28.80;7.82 bil;;;-0.84
nasdaq-com;erts;2.5%;$ 24.19;$ 23.57;0.59;4,768,735;$ 24.20;$ 23.40;$ 23.60;$ 24.79;$ 14.06;332,448,000;;$ 8,041,917,120;;;$ -0.84
yahoo-finance;erts;2.50%;24.19;23.42;0.59;4,768,735;24.20;23.40;23.60;24.79;14.30;;;8.04b;;;-0.84
bloomberg;pcar;1.879%;52.050;51.240;960;1,984,988;52.170;50.620;;58.75;38.40;365.469mil;33.153;19,022.660mil;1.441;0.120 regular cash;1.570
google-finance;pcar;(1.88%);52.05;51.24;+0.96;1.98m;52.17;50.62;;58.75;38.60;365.47m;32.76;19.02b;0.92;0.12;1.59
msn-money;pcar;+1.88%;52.05;51.24;+0.96;1.98 mil;52.17;50.62;51.09;58.75;38.60;365.47 mil;32.74;18.67 bil;0.94%;0.48;1.59
nasdaq-com;pcar;1.88%;$ 52.05;$ 51.24;0.96;1,983,039;$ 52.17;$ 50.62;$ 51.09;$ 58.75;$ 38.60;365,469,000;32.74;$ 19,022,661,450;0.94 %;$0.480000;$ 1.59
yahoo-finance;pcar;1.88%;52.05;51.24;0.96;1,982,939;52.17;50.62;51.09;58.75;38.60;;32.74;19.02b;1.00%;0.48;1.59
bloomberg;mat;1.819%;27.990;27.550;500;2,213,698;28.000;27.490;;28.00;20.57;347.588mil;15.550;9,728.990mil;4.611;0.230 regular cash;1.800
google-finance;mat;(1.82%);27.99;27.55;+0.50;2.21m;28.00;27.49;;28.00;20.57;347.59m;15.15;9.73b;3.29;0.23;1.85
msn-money;mat;+1.82%;27.99;27.55;+0.50;2.21 mil;28.00;27.49;27.49;27.73;20.57;347.59 mil;15.21;9.56 bil;3.35%;0.92;1.85
nasdaq-com;mat;1.82%;$ 27.99;$ 27.55;0.50;2,211,845;$ 28;$ 27.49;$ 27.49;$ 27.73;$ 20.57;347,588,000;15.13;$ 9,728,988,120;3.35 %;$0.920000;$ 1.85
yahoo-finance;mat;1.82%;27.99;27.52;0.50;2,209,940;28.00;27.49;27.49;28.00;20.57;;15.11;9.73b;3.40%;0.92;1.85
bloomberg;mxim;1.291%;25.890;25.560;330;1,653,833;26.090;25.480;;28.44;15.67;295.368mil;17.493;7,647.069mil;3.244;0.210 regular cash;1.480
google-finance;mxim;(1.29%);25.89;25.56;+0.33;1.65m;26.09;25.48;;28.44;15.67;295.37m;18.64;7.65b;3.24;0.21;1.39
msn-money;mxim;+1.29%;25.89;25.56;+0.33;1.65 mil;26.09;25.48;25.56;28.44;15.67;295.37 mil;18.63;7.55 bil;3.29%;0.84;1.39
nasdaq-com;mxim;1.29%;$ 25.89;$ 25.56;0.33;1,652,343;$ 26.09;$ 25.48;$ 25.56;$ 28.44;$ 15.67;295,368,000;18.63;$ 7,647,077,520;3.29 %;$0.840000;$ 1.39
yahoo-finance;mxim;1.29%;25.89;25.57;0.33;1,651,943;26.09;25.48;25.56;28.44;15.67;;18.65;7.65b;3.40%;0.84;1.39
bloomberg;cmcsa;1.992%;25.730;25.300;503;11,608,937;25.790;25.170;;27.16;16.76;2,084.368mil;18.919;70,409.070mil;1.974;0.112 regular cash;1.360
google-finance;cmcsa;(1.99%);25.73;25.30;+0.50;11.61m;25.79;25.17;;27.16;16.76;2.76b;19.47;70.95b;1.75;0.11;1.32
msn-money;cmcsa;+1.99%;25.73;25.30;+0.50;11.61 mil;25.79;25.17;25.23;27.16;16.76;2.77 bil;19.49;69.34 bil;1.78%;0.45;1.32
nasdaq-com;cmcsa;1.99%;$ 25.73;$ 25.30;0.5025;11,607,337;$ 25.79;$ 25.17;$ 25.2275;$ 27.16;$ 16.76;2,084,368,000;19.49;$ 53,630,788,640;1.78 %;$0.450000;$ 1.32
yahoo-finance;cmcsa;1.99%;25.73;25.31;0.50;11,607,337;25.79;25.17;25.23;27.16;16.76;;19.49;71.17b;1.80%;0.45;1.32
bloomberg;orcl;425%;33.050;32.890;140;23,044,748;33.200;32.480;;36.50;21.24;5,065.515mil;18.672;167,415.300mil;636;0.060 regular cash;1.770
google-finance;orcl;(0.43%);33.05;32.89;+0.14;25.21m;33.20;32.48;;36.50;21.24;5.07b;19.86;167.42b;0.73;0.06;1.66
msn-money;orcl;+0.43%;33.05;32.89;+0.14;25.21 mil;33.20;32.48;32.91;36.50;21.24;5.07 bil;19.79;166.71 bil;0.73%;0.24;1.66
nasdaq-com;orcl;0.43%;$ 33.05;$ 32.89;0.14;25,214,864;$ 33.20;$ 32.48;$ 32.91;$ 36.50;$ 21.24;5,060,516,000;19.79;$ 167,250,053,800;0.73 %;$0.240000;$ 1.67
yahoo-finance;orcl;0.43%;33.05;32.85;0.14;25,206,995;33.20;32.49;32.91;36.50;21.24;;19.79;167.40b;0.70%;0.24;1.67
bloomberg;dltr;2.417%;68.230;67.020;1.610;935,770;68.500;66.740;;68.50;40.60;122.277mil;19.777;8,342.961mil;;;3.450
google-finance;dltr;(2.42%);68.23;67.02;+1.61;934,370.00;68.50;66.74;;68.50;40.60;122.28m;19.79;8.34b;;;3.45
msn-money;dltr;+2.42%;68.23;67.02;+1.61;934,370;68.50;66.74;66.62;67.99;40.60;122.28 mil;19.72;8.15 bil;;;3.45
nasdaq-com;dltr;2.42%;$ 68.23;$ 67.02;1.61;934,370;$ 68.50;$ 66.74;$ 66.62;$ 67.99;$ 40.60;122,277,000;19.78;$ 8,342,959,710;;;$ 3.45
yahoo-finance;dltr;2.42%;68.23;66.89;1.61;934,370;68.50;66.74;66.62;68.50;40.60;;19.85;8.34b;;;3.44
bloomberg;amgn;-120%;58.280;58.440;-70;5,227,363;58.440;57.890;;61.53;50.26;929.731mil;12.218;54,184.690mil;;0.000 rights redemption;4.770
google-finance;amgn;(-0.12%);58.28;58.44;-0.07;5.23m;58.44;57.89;;61.53;50.26;929.73m;12.12;54.18b;;;4.81
msn-money;amgn;-0.12%;58.28;58.44;-0.07;5.23 mil;58.44;57.89;58.35;61.53;50.26;929.73 mil;12.12;54.25 bil;;;4.81
nasdaq-com;amgn;0.12%;$ 58.28;$ 58.44;0.07;5,227,063;$ 58.44;$ 57.89;$ 58.35;$ 61.53;$ 50.26;929,731,000;12.12;$ 54,184,722,680;;;$ 4.81
yahoo-finance;amgn;0.12%;58.28;58.44;0.07;5,225,005;58.44;57.89;58.35;61.53;50.26;;12.11;54.18b;;;4.81
bloomberg;ca;1.445%;23.170;22.870;330;3,177,246;23.180;22.770;;25.68;17.70;506.108mil;14.391;11,726.530mil;734;0.050 regular cash;1.610
google-finance;ca;(1.44%);23.17;22.87;+0.33;3.18m;23.18;22.77;;25.68;17.70;506.11m;14.50;11.73b;0.86;0.05;1.60
msn-money;ca;+1.44%;23.17;22.87;+0.33;3.18 mil;23.18;22.77;22.84;25.68;17.70;507.38 mil;14.48;11.59 bil;0.88%;0.20;1.61
nasdaq-com;ca;1.44%;$ 23.17;$ 22.87;0.33;3,177,246;$ 23.18;$ 22.77;$ 22.84;$ 25.68;$ 17.70;506,108,000;14.39;$ 11,726,522,360;0.88 %;$0.200000;$ 1.61
yahoo-finance;ca;1.44%;23.17;22.87;0.33;3,172,253;23.17;22.77;22.84;25.68;17.70;;14.41;11.73b;0.90%;0.20;1.61
bloomberg;gild;1.304%;41.950;41.440;540;6,145,425;41.970;41.380;;42.93;31.73;787.054mil;12.712;33,016.930mil;;;3.300
google-finance;gild;(1.30%);41.95;41.44;+0.54;6.14m;41.97;41.38;;42.93;31.73;787.05m;13.13;33.02b;;;3.19
msn-money;gild;+1.30%;41.95;41.44;+0.54;6.14 mil;41.97;41.38;41.41;42.93;31.73;787.05 mil;13.11;32.59 bil;;;3.20
nasdaq-com;gild;1.3%;$ 41.95;$ 41.44;0.54;6,135,825;$ 41.97;$ 41.38;$ 41.41;$ 42.93;$ 31.73;787,054,000;13.19;$ 33,016,915,300;;;$ 3.18
yahoo-finance;gild;1.30%;41.95;41.44;0.54;6,134,025;41.95;41.38;41.41;42.93;31.73;;13.14;33.02b;;;3.19
bloomberg;symc;558%;19.830;19.820;110;6,792,906;19.885;19.710;;20.50;12.04;755.541mil;23.058;14,982.380mil;;;860
google-finance;symc;(0.56%);19.83;19.82;+0.11;6.78m;19.89;19.71;;20.50;12.04;755.54m;26.09;14.98b;;;0.76
msn-money;symc;+0.56%;19.83;19.82;+0.11;6.78 mil;19.89;19.71;19.72;20.50;12.04;755.54 mil;26.09;14.9 bil;;;0.76
nasdaq-com;symc;0.56%;$ 19.83;$ 19.82;0.11;6,781,157;$ 19.885;$ 19.71;$ 19.72;$ 20.50;$ 12.04;755,541,000;26.09;$ 14,982,378,030;;;$ 0.76
yahoo-finance;symc;0.56%;19.83;19.78;0.11;6,775,197;19.89;19.71;19.72;20.50;12.04;;26.09;14.98b;;;0.76
bloomberg;rimm;277%;28.930;28.720;80;12,775,795;29.000;28.450;;70.54;25.82;524.096mil;4.570;15,162.100mil;;;6.330
google-finance;rimm;(0.28%);28.93;28.72;+0.08;12.77m;29.00;28.45;;70.54;25.82;524.00m;4.59;15.16b;;;6.30
msn-money;rimm;+0.28%;28.93;28.72;+0.08;12.77 mil;29.00;28.45;28.85;70.54;25.82;524.11 mil;4.60;15.09 bil;;;6.31
nasdaq-com;rimm;0.28%;$ 28.93;$ 28.72;0.08;12,773,888;$ 29;$ 28.45;$ 28.85;$ 70.54;$ 25.82;523,869,000;4.58;$ 15,155,530,170;;;$ 6.31
yahoo-finance;rimm;0.28%;28.93;28.71;0.08;12,772,888;29.00;28.45;28.85;70.54;25.82;;4.59;15.07b;;;6.30
bloomberg;amzn;2.445%;209.490;205.550;5.000;3,979,082;210.270;203.610;;210.27;105.80;452.043mil;90.623;94,698.510mil;;;2.310
google-finance;amzn;(2.45%);209.49;205.55;+5.00;3.98m;210.27;203.61;;210.27;105.80;452.04m;90.78;94.70b;;;2.31
msn-money;amzn;+2.45%;209.49;205.55;+5.00;3.98 mil;210.27;203.61;204.49;206.39;105.80;452.04 mil;90.69;92.44 bil;;;2.31
nasdaq-com;amzn;2.45%;$ 209.49;$ 205.55;5;3,978,982;$ 210.27;$ 203.61;$ 204.49;$ 206.39;$ 105.80;452,043,000;90.69;$ 94,698,488,070;;;$ 2.31
yahoo-finance;amzn;2.45%;209.49;205.16;5.00;3,978,982;210.27;203.74;204.49;210.27;105.80;;90.73;94.70b;;;2.31
bloomberg;dell;1.860%;16.980;16.700;310;13,650,035;17.000;16.600;;17.00;11.34;1,885.934mil;9.872;32,023.170mil;;;1.720
google-finance;dell;(1.86%);16.98;16.70;+0.31;13.65m;17.00;16.60;;17.00;11.34;1.89b;10.17;32.02b;;;1.67
msn-money;dell;+1.86%;16.98;16.70;+0.31;13.65 mil;17.00;16.60;16.67;16.96;11.34;1.89 bil;10.17;31.44 bil;;;1.67
nasdaq-com;dell;1.86%;$ 16.98;$ 16.70;0.31;13,649,145;$ 17;$ 16.60;$ 16.67;$ 16.96;$ 11.34;1,887,170,000;10.17;$ 32,044,146,600;;;$ 1.67
yahoo-finance;dell;1.86%;16.98;16.68;0.31;13,649,145;17.00;16.60;16.67;17.00;11.34;;10.16;32.04b;;;1.67
bloomberg;flex;2.804%;6.600;6.450;180;3,868,464;6.610;6.420;;8.50;4.86;757.991mil;8.800;5,002.739mil;;;750
google-finance;flex;(2.80%);6.60;6.45;+0.18;3.87m;6.61;6.42;;8.50;4.86;757.99m;8.71;5.00b;;;0.76
msn-money;flex;+2.80%;6.60;6.45;+0.18;3.87 mil;6.61;6.42;6.42;8.50;4.86;740.00 mil;8.80;4.75 bil;;;0.76
nasdaq-com;flex;2.8%;$ 6.60;$ 6.45;0.18;3,868,464;$ 6.61;$ 6.42;$ 6.42;$ 8.50;$ 4.86;758,009,000;8.8;$ 5,002,859,400;;;$ 0.75
yahoo-finance;flex;2.80%;6.60;6.44;0.18;3,862,364;6.61;6.42;6.42;8.50;4.86;;8.80;5.00b;;;0.75
bloomberg;mu;4.679%;7.830;7.460;350;29,836,277;7.850;7.370;;11.95;6.36;1,001.471mil;14.500;7,841.517mil;;;540
google-finance;mu;(4.68%);7.83;7.46;+0.35;30.55m;7.85;7.37;;11.95;6.36;997.29m;12.75;7.81b;;;0.61
msn-money;mu;+4.68%;7.83;7.46;+0.35;30.55 mil;7.85;7.37;7.48;11.95;6.36;1.00 bil;13.05;7.49 bil;;;0.61
nasdaq-com;mu;4.68%;$ 7.83;$ 7.46;0.35;30,554,681;$ 7.85;$ 7.37;$ 7.48;$ 11.95;$ 6.36;1,001,471,000;12.84;$ 7,841,517,930;;;$ 0.61
yahoo-finance;mu;4.68%;7.83;7.50;0.35;30,554,281;7.85;7.37;7.48;11.95;6.36;;12.37;7.82b;;;0.63
bloomberg;cern;2.340%;62.540;61.360;1.430;949,101;62.590;60.820;;62.96;36.02;168.212mil;42.710;10,524.990mil;;;1.465
google-finance;cern;(2.34%);62.54;61.36;+1.43;949,101.00;62.59;60.82;;62.96;36.03;168.14m;42.63;10.52b;;;1.47
msn-money;cern;+2.34%;62.54;61.36;+1.43;949,101;62.59;60.82;61.11;62.96;36.03;168.21 mil;42.54;10.28 bil;;;1.47
nasdaq-com;cern;2.34%;$ 62.54;$ 61.36;1.43;949,101;$ 62.59;$ 60.82;$ 61.11;$ 62.955;$ 36.025;168,212,000;42.69;$ 10,519,978,480;;;$ 1.46
yahoo-finance;cern;2.34%;62.54;61.36;1.43;949,101;62.59;60.82;61.11;62.96;36.03;;42.54;10.52b;;;1.47
bloomberg;nwsa;2.034%;18.060;17.740;360;12,950,640;18.070;17.580;;18.35;11.61;1,828.109mil;14.683;47,732.380mil;834;0.075 regular cash;1.230
google-finance;nwsa;(2.03%);18.06;17.74;+0.36;12.86m;18.07;17.58;;18.35;11.61;2.63b;16.23;47.44b;0.83;0.08;1.11
msn-money;nwsa;+2.03%;18.06;17.74;+0.36;12.86 mil;18.07;17.58;17.70;18.35;11.61;2.63 bil;16.13;46.79 bil;0.85%;0.15;1.11
nasdaq-com;nwsa;2.03%;$ 18.06;$ 17.74;0.36;12,861,466;$ 18.07;$ 17.58;$ 17.70;$ 18.35;$ 11.61;1,828,109,000;16.27;$ 33,015,648,540;0.85 %;$0.150000;$ 1.11
yahoo-finance;nwsa;2.03%;18.06;17.72;0.36;12,861,466;18.07;17.58;17.70;18.35;11.65;;16.12;47.44b;0.90%;0.15;1.12
bloomberg;adsk;259%;38.700;38.600;100;3,268,365;38.890;38.440;;46.15;23.64;230.954mil;37.573;8,937.927mil;;;1.030
google-finance;adsk;(0.26%);38.70;38.60;+0.10;3.27m;38.89;38.44;;46.15;23.64;230.95m;37.21;8.94b;;;1.04
msn-money;adsk;+0.26%;38.70;38.60;+0.10;3.27 mil;38.89;38.44;38.60;46.15;23.64;230.95 mil;37.57;8.91 bil;;;1.04
nasdaq-com;adsk;0.26%;$ 38.70;$ 38.60;0.10;3,268,365;$ 38.89;$ 38.44;$ 38.60;$ 46.15;$ 23.64;229,803,000;37.57;$ 8,893,376,100;;;$ 1.03
yahoo-finance;adsk;0.26%;38.70;38.54;0.10;3,268,265;38.89;38.44;38.60;46.15;23.64;;37.54;8.94b;;;1.03
bloomberg;adp;2.297%;53.890;52.560;1.210;2,951,543;53.990;52.480;;55.12;38.41;499.705mil;21.730;26,929.090mil;2.635;0.360 regular cash;2.480
google-finance;adp;(2.30%);53.89;52.56;+1.21;2.95m;53.99;52.48;;55.12;38.41;499.70m;22.02;26.93b;2.67;0.36;2.45
msn-money;adp;+2.30%;53.89;52.56;+1.21;2.95 mil;53.99;52.48;52.68;55.12;38.41;499.70 mil;22.00;26.32 bil;2.73%;1.44;2.45
nasdaq-com;adp;2.3%;$ 53.89;$ 52.56;1.21;2,951,543;$ 53.99;$ 52.48;$ 52.68;$ 55.12;$ 38.41;499,705,000;22;$ 26,929,102,450;2.73 %;$1.440000;$ 2.45
yahoo-finance;adp;2.30%;53.89;52.60;1.21;2,951,143;53.99;52.48;52.68;55.12;38.41;;22.01;26.93b;2.70%;1.44;2.45
bloomberg;vrsn;1.255%;33.880;33.370;420;2,218,028;34.070;33.310;;37.73;21.85;174.000mil;61.600;5,895.120mil;16.932;2.750 special cash;550
google-finance;vrsn;(1.26%);33.88;33.37;+0.42;2.21m;34.07;33.31;;37.73;25.73;168.47m;73.91;5.71b;null;null;0.46
msn-money;vrsn;+1.26%;33.88;33.37;+0.42;2.21 mil;34.07;33.31;33.46;37.73;25.73;168.47 mil;70.58;5.64 bil;;;4.68
nasdaq-com;vrsn;1.26%;$ 33.88;$ 33.37;0.42;2,213,030;$ 34.07;$ 33.31;$ 33.46;$ 37.73;$ 25.73;168,472,000;7.24;$ 5,707,831,360;;;$ 4.68
yahoo-finance;vrsn;1.26%;33.88;33.39;0.42;2,212,930;34.07;33.31;33.46;37.73;25.73;;7.23;5.71b;;;4.69
bloomberg;celg;928%;60.880;60.750;560;2,460,853;60.970;60.170;;63.46;48.02;462.801mil;26.819;28,175.360mil;;;2.270
google-finance;celg;(0.93%);60.88;60.75;+0.56;2.46m;60.97;60.17;;63.46;48.02;462.80m;31.77;28.18b;;;1.92
msn-money;celg;+0.93%;60.88;60.75;+0.56;2.46 mil;60.97;60.17;60.32;63.46;48.02;462.80 mil;31.71;27.92 bil;;;1.92
nasdaq-com;celg;0.93%;$ 60.88;$ 60.75;0.56;2,460,853;$ 60.97;$ 60.17;$ 60.32;$ 63.46;$ 48.02;462,801,000;31.71;$ 28,175,324,880;;;$ 1.92
yahoo-finance;celg;0.93%;60.88;60.75;0.56;2,460,853;60.97;60.17;60.32;63.46;48.02;;31.71;28.18b;;;1.92
