"","Source","Symbol","ChangePerc","ClosePrice","OpenPrice","ChangeInDollars","Volume","HighPrice","LowPrice","PreviousClose","YearHigh","YearLow","NShares","PE","MarketCap","Dividend","DividendYield","EPS"
"172","google-finance","aapl","2.26","343.26","335.95",7.59,"15450000","343.5","334.2","335.67","364.9","235.56","921280000","16.36","3.1624e+11",NA,NA,"20.98"
"173","msn-money","aapl","2.26","343.26","335.95",7.59,"15450000","343.5","334.2","335.67","364.9","235.56","924750000","16.36","3.1041e+11",NA,NA,"20.98"
"174","nasdaq-com","aapl","2.26","343.26","335.95",7.59,"15447286","343.5","334.2","335.67","364.9","235.56","924755000","16.36","317431401300",NA,NA,"20.98"
"175","yahoo-finance","aapl","2.26","343.26","335.94",7.59,"15446986","343.46","334.2","335.67","364.9","235.56","924755000","16.35","3.1743e+11",NA,NA,"20.99"
"176","bloomberg","goog","2.893","521.028","506.74",0.014648,"3594575","521.18","506.38","506.38","642.96","433.63","252993000","20.212","167818300000",NA,NA,"25.75"
"177","google-finance","goog","2.89","521.03","506.74",0.01465,"3590000","521.18","506.38","506.38","642.96","433.63","322250000","20.24","1.679e+11",NA,NA,"25.75"
"178","msn-money","goog","2.89","521.03","506.74",0.01465,"3590000","521.18","506.38","506.38","642.96","433.63","322250000","20.23","1.6318e+11",NA,NA,"25.75"
"179","nasdaq-com","goog","2.89","521.028","506.74",0.014648,"3594065","521.18","506.38","506.38","642.96","433.63","252993000","19.1","131816436804",NA,NA,"27.28"
"180","yahoo-finance","goog","2.89","521.03","506.56",0.01465,"3593365","521.03","506.38","506.38","642.96","433.63","252993000","20.23","1.679e+11",NA,NA,"25.75"
"181","bloomberg","infy","1.288","66.07","65.6",0.84,"1123894","66.14","65.26","65.23","77.92","56.17","574188000","24.641","37936580000","0.425","2.045","119.665"
"182","google-finance","infy","1.29","66.07","65.6",0.84,"1120000","66.14","65.26","65.23","77.92","56.73","571300000","25.18","3.775e+10","0.44","1.01","2.62"
"183","msn-money","infy","1.29","66.07","65.6",0.84,"1120000","66.14","65.26","65.23","77.92","56.73","571320000","25.22","3.707e+10","0.67","1.03","2.62"
"184","nasdaq-com","infy","1.29","66.07","65.6",0.84,"1123894","66.14","65.26","65.23","77.92","56.73","571318000","25.31","37746980260","0.425","2.045","2.61"
"185","yahoo-finance","infy","1.29","66.07","65.63",0.84,"1123894","66.14","65.27","65.23","77.92","56.73","574188000","25.22","3.775e+10","0.85","1.3","2.62"
"186","bloomberg","flir","1.454","34.2","33.58",0.49,"1056852","34.28","33.34","33.71","37.29","24","159683000","22.353","5461143000","0.06","351","1.53"
"187","google-finance","flir","1.45","34.2","33.58",0.49,"1060000","34.28","33.34","33.71","37.29","24","159680000","22.59","5.46e+09","0.06","0.7","1.51"
"188","msn-money","flir","1.45","34.2","33.58",0.49,"1060000","34.28","33.34","33.71","37.29","24","159680000","22.65","5.38e+09","0.24","0.71","1.51"
"189","nasdaq-com","flir","1.45","34.2","33.58",0.49,"1056852","34.28","33.34","33.71","37.29","24","159683000","22.65","5461158600","0.24","0.71","1.51"
"190","yahoo-finance","flir","1.45","34.2","33.43",0.49,"1056852","34.28","33.34","33.71","37.29","24","159683000","22.72","5.46e+09","0.24","0.7","1.51"
"191","bloomberg","gmcr","1.221","90.35","89.61",1.09,"1174196","90.94","89.16","89.26","90.94","24.84","150388000","91.263","13587550000",NA,NA,"990"
"192","google-finance","gmcr","1.22","90.35","89.61",1.09,"1170000","90.94","89.16","89.26","90.94","24.84","142040000","114.65","1.283e+10",NA,NA,"0.79"
"193","msn-money","gmcr","1.22","90.35","89.61",1.09,"1170000","90.94","89.16","89.26","90.01","24.84","150390000","114.37","1.342e+10",NA,NA,"0.79"
"194","nasdaq-com","gmcr","1.22","90.35","89.61",1.09,"1174196","90.94","89.16","89.26","90.01","24.84","152785000","114.37","13804124750",NA,NA,"0.79"
"195","yahoo-finance","gmcr","1.22","90.35","89.61",1.09,"1174096","90.94","89.16","89.26","90.94","24.84","150388000","113.79","1.283e+10",NA,NA,"0.79"
"196","bloomberg","lrcx","2.236","45.27","44.32",0.99,"1518831","45.65","43.899","44.28","59.1","35.39","124491000","7.621","5635696000",NA,NA,"5.94"
"197","google-finance","lrcx","2.24","45.27","44.32",0.99,"1520000","45.65","43.9","44.28","59.1","35.39","124490000","7.71","5.64e+09",NA,NA,"5.88"
"198","msn-money","lrcx","2.24","45.27","44.32",0.99,"1520000","45.65","43.9","44.28","59.1","35.39","124490000","7.7","5.51e+09",NA,NA,"5.88"
"199","nasdaq-com","lrcx","2.24","45.27","44.32",0.99,"1518071","45.65","43.8992","44.28","59.1","35.39","124491000","7.7","5635707570",NA,NA,"5.88"
"200","yahoo-finance","lrcx","2.24","45.27","44.39",0.99,"1517971","45.65","43.92","44.28","59.1","35.39","124491000","7.7","5.64e+09",NA,NA,"5.88"
"201","bloomberg","xray","1.155","38.52","38.19",0.44,"2793472","38.54","37.92","38.08","40.16","27.76","140775000","19.958","5422671000","0.05","519","1.93"
"202","google-finance","xray","1.16","38.52","38.19",0.44,"2790000","38.54","37.92","38.08","40.16","27.76","140780000","20.43","5.42e+09","0.05","0.52","1.89"
"203","msn-money","xray","1.16","38.52","38.19",0.44,"2790000","38.54","37.92","38.08","40.16","27.76","140780000","20.38","5.36e+09","0.2","0.53","1.89"
"204","nasdaq-com","xray","1.16","38.52","38.19",0.44,"2793472","38.54","37.92","38.08","40.16","27.76","140775000","20.49","5422653000","0.2","0.53","1.88"
"205","yahoo-finance","xray","1.16","38.52","38.08",0.44,"2792972","38.54","37.92","38.08","40.16","27.76","140775000","20.37","5.42e+09","0.2","0.5","1.89"
"206","bloomberg","chrw","2.258","80.62","79.1",1.78,"971143","80.99","78.843","78.84","82.05","54.5","165564000","33.314","13347740000","0.29","1.388","2.42"
"207","google-finance","chrw","2.26","80.62","79.1",1.78,"971143","80.99","78.84","78.84","82.05","54.5","165560000","33.41","1.335e+10","0.29","1.44","2.41"
"208","msn-money","chrw","2.26","80.62","79.1",1.78,"971143","80.99","78.84","78.84","82.05","54.5","165560000","33.31","1.305e+10","1.16","1.47","2.41"
"209","nasdaq-com","chrw","2.26","80.62","79.1",1.78,"971143","80.99","78.8426","78.84","82.05","54.5","165564000","33.31","13347769680","1.16","1.47","2.42"
"210","yahoo-finance","chrw","2.26","80.62","79.1",1.78,"971043","80.99","78.84","78.84","82.05","54.5","165564000","33.31","1.335e+10","1.16","1.5","2.42"
"211","bloomberg","adbe","254","31.53","31.33",0.08,"4109935","31.65","31.24","31.45","35.99","25.45","493867000","17.614","15571610000",NA,NA,"1.79"
"212","google-finance","adbe","0.25","31.53","31.33",0.08,"4110000","31.65","31.24","31.45","35.99","25.45","504460000","16.82","1.591e+10",NA,NA,"1.87"
"213","msn-money","adbe","0.25","31.53","31.33",0.08,"4110000","31.65","31.24","31.45","35.99","25.45","493870000","16.95","1.553e+10",NA,NA,"1.88"
"214","nasdaq-com","adbe","0.25","31.53","31.33",0.08,"4107435","31.65","31.24","31.45","35.99","25.45","504459000","16.77","15905592270",NA,NA,"1.88"
"215","yahoo-finance","adbe","0.25","31.53","31.35",0.08,"4106835","31.65","31.24","31.45","35.99","25.45","493867000","16.89","1.576e+10",NA,NA,"1.87"
"216","bloomberg","fisv","1.78","63.745","62.77",1.115,"717087","64","62.38","62.63","64.89","44.85","143611000","18.213","9154494000",NA,NA,"3.5"
"217","google-finance","fisv","1.78","63.74","62.77",1.11,"717087","64","62.38","62.63","64.89","44.85","143610000","19.28","9.15e+09",NA,NA,"3.31"
"218","msn-money","fisv","1.78","63.75","62.77",1.11,"717087","64","62.38","62.63","64.89","44.85","143610000","19.26","8.99e+09",NA,NA,"3.24"
"219","nasdaq-com","fisv","1.78","63.745","62.77",1.115,"717087","64","62.38","62.63","64.89","44.85","143611000","19.67","9154483195",NA,NA,"3.24"
"220","yahoo-finance","fisv","1.78","63.74","62.76",1.11,"716887","64","62.38","62.63","64.89","44.85","143611000","19.64","9.15e+09",NA,NA,"3.25"
"221","bloomberg","wfm","1.513","64.41","63.69",0.96,"1124267","64.41","63.38","63.45","66.87","33.96","175713000","36.597","11317660000","0.1","466","1.76"
"222","google-finance","wfm","1.51","64.41","63.69",0.96,"1120000","64.41","63.38","63.45","66.87","33.96","173560000","37.23","1.118e+10","0.1","0.62","1.73"
"223","msn-money","wfm","1.51","64.41","63.69",0.96,"1120000","64.41","63.38","63.45","66.87","33.96","175710000","37.23","1.115e+10","0.4","0.63","1.73"
"224","nasdaq-com","wfm","1.51","64.41","63.69",0.96,"1124067","64.41","63.38","63.45","66.87","33.96","175713000","37.23","11317674330","0.4","0.63","1.73"
"225","yahoo-finance","wfm","1.5","64.4","63.69",0.95,"1124067","64.41","63.38","63.45","66.87","33.96","175713000","37.08","1.132e+10","0.4","0.6","1.74"
"226","bloomberg","erts","2.5","24.19","23.57",0.59,"4768735","24.2","23.4","23.6","24.79","14.06","332448000",NA,"8041913000",NA,NA,"-550"
"227","google-finance","erts","2.5","24.19","23.57",0.59,"4770000","24.2","23.4","23.6","24.79","14.06","332450000",NA,"8.04e+09",NA,NA,"-0.84"
"228","msn-money","erts","2.5","24.19","23.57",0.59,"4770000","24.2","23.4","23.6","24.79","14.06","331350000","-28.8","7.82e+09",NA,NA,"-0.84"
"229","nasdaq-com","erts","2.5","24.19","23.57",0.59,"4768735","24.2","23.4","23.6","24.79","14.06","332448000",NA,"8041917120",NA,NA,"-0.84"
"230","yahoo-finance","erts","2.5","24.19","23.42",0.59,"4768735","24.2","23.4","23.6","24.79","14.3","332448000",NA,"8.04e+09",NA,NA,"-0.84"
"231","bloomberg","pcar","1.879","52.05","51.24",0.96,"1984988","52.17","50.62","51.09","58.75","38.4","365469000","33.153","19022660000","0.12","1.441","1.57"
"232","google-finance","pcar","1.88","52.05","51.24",0.96,"1980000","52.17","50.62","51.09","58.75","38.6","365470000","32.76","1.902e+10","0.12","0.92","1.59"
"233","msn-money","pcar","1.88","52.05","51.24",0.96,"1980000","52.17","50.62","51.09","58.75","38.6","365470000","32.74","1.867e+10","0.48","0.94","1.59"
"234","nasdaq-com","pcar","1.88","52.05","51.24",0.96,"1983039","52.17","50.62","51.09","58.75","38.6","365469000","32.74","19022661450","0.48","0.94","1.59"
"235","yahoo-finance","pcar","1.88","52.05","51.24",0.96,"1982939","52.17","50.62","51.09","58.75","38.6","365469000","32.74","1.902e+10","0.48","1","1.59"
"236","bloomberg","mat","1.819","27.99","27.55",0.5,"2213698","28","27.49","27.49","28","20.57","347588000","15.55","9728990000","0.23","4.611","1.8"
"237","google-finance","mat","1.82","27.99","27.55",0.5,"2210000","28","27.49","27.49","28","20.57","347590000","15.15","9.73e+09","0.23","3.29","1.85"
"238","msn-money","mat","1.82","27.99","27.55",0.5,"2210000","28","27.49","27.49","27.73","20.57","347590000","15.21","9.56e+09","0.92","3.35","1.85"
"239","nasdaq-com","mat","1.82","27.99","27.55",0.5,"2211845","28","27.49","27.49","27.73","20.57","347588000","15.13","9728988120","0.92","3.35","1.85"
"240","yahoo-finance","mat","1.82","27.99","27.52",0.5,"2209940","28","27.49","27.49","28","20.57","347588000","15.11","9.73e+09","0.92","3.4","1.85"
"241","bloomberg","mxim","1.291","25.89","25.56",0.33,"1653833","26.09","25.48","25.56","28.44","15.67","295368000","17.493","7647069000","0.21","3.244","1.48"
"242","google-finance","mxim","1.29","25.89","25.56",0.33,"1650000","26.09","25.48","25.56","28.44","15.67","295370000","18.64","7.65e+09","0.21","3.24","1.39"
"243","msn-money","mxim","1.29","25.89","25.56",0.33,"1650000","26.09","25.48","25.56","28.44","15.67","295370000","18.63","7.55e+09","0.84","3.29","1.39"
"244","nasdaq-com","mxim","1.29","25.89","25.56",0.33,"1652343","26.09","25.48","25.56","28.44","15.67","295368000","18.63","7647077520","0.84","3.29","1.39"
"245","yahoo-finance","mxim","1.29","25.89","25.57",0.33,"1651943","26.09","25.48","25.56","28.44","15.67","295368000","18.65","7.65e+09","0.84","3.4","1.39"
"246","bloomberg","cmcsa","1.992","25.73","25.3",0.503,"11608937","25.79","25.17","25.23","27.16","16.76","2084368000","18.919","70409070000","0.112","1.974","1.36"
"247","google-finance","cmcsa","1.99","25.73","25.3",0.5,"11610000","25.79","25.17","25.23","27.16","16.76","2.76e+09","19.47","7.095e+10","0.11","1.75","1.32"
"248","msn-money","cmcsa","1.99","25.73","25.3",0.5,"11610000","25.79","25.17","25.23","27.16","16.76","2.77e+09","19.49","6.934e+10","0.45","1.78","1.32"
"249","nasdaq-com","cmcsa","1.99","25.73","25.3",0.5025,"11607337","25.79","25.17","25.2275","27.16","16.76","2084368000","19.49","53630788640","0.45","1.78","1.32"
"250","yahoo-finance","cmcsa","1.99","25.73","25.31",0.5,"11607337","25.79","25.17","25.23","27.16","16.76","2084368000","19.49","7.117e+10","0.45","1.8","1.32"
"251","bloomberg","orcl","425","33.05","32.89",0.14,"23044748","33.2","32.48","32.91","36.5","21.24","5065515000","18.672","167415300000","0.06","636","1.77"
"252","google-finance","orcl","0.43","33.05","32.89",0.14,"25210000","33.2","32.48","32.91","36.5","21.24","5.07e+09","19.86","1.6742e+11","0.06","0.73","1.66"
"253","msn-money","orcl","0.43","33.05","32.89",0.14,"25210000","33.2","32.48","32.91","36.5","21.24","5.07e+09","19.79","1.6671e+11","0.24","0.73","1.66"
"254","nasdaq-com","orcl","0.43","33.05","32.89",0.14,"25214864","33.2","32.48","32.91","36.5","21.24","5060516000","19.79","167250053800","0.24","0.73","1.67"
"255","yahoo-finance","orcl","0.43","33.05","32.85",0.14,"25206995","33.2","32.49","32.91","36.5","21.24","5.07","19.79","1.674e+11","0.24","0.7","1.67"
"256","bloomberg","dltr","2.417","68.23","67.02",1.61,"935770","68.5","66.74","66.62","68.5","40.6","122277000","19.777","8342961000",NA,NA,"3.45"
"257","google-finance","dltr","2.42","68.23","67.02",1.61,"934370","68.5","66.74","66.62","68.5","40.6","122280000","19.79","8.34e+09",NA,NA,"3.45"
"258","msn-money","dltr","2.42","68.23","67.02",1.61,"934370","68.5","66.74","66.62","67.99","40.6","122280000","19.72","8.15e+09",NA,NA,"3.45"
"259","nasdaq-com","dltr","2.42","68.23","67.02",1.61,"934370","68.5","66.74","66.62","67.99","40.6","122277000","19.78","8342959710",NA,NA,"3.45"
"260","yahoo-finance","dltr","2.42","68.23","66.89",1.61,"934370","68.5","66.74","66.62","68.5","40.6","122277000","19.85","8.34e+09",NA,NA,"3.44"
"261","bloomberg","amgn","-120","58.28","58.44",-0.07,"5227363","58.44","57.89","58.35","61.53","50.26","929731000","12.218","54184690000","0",NA,"4.77"
"262","google-finance","amgn","-0.12","58.28","58.44",-0.07,"5230000","58.44","57.89","58.35","61.53","50.26","929730000","12.12","5.418e+10","0",NA,"4.81"
"263","msn-money","amgn","-0.12","58.28","58.44",-0.07,"5230000","58.44","57.89","58.35","61.53","50.26","929730000","12.12","5.425e+10","0",NA,"4.81"
"264","nasdaq-com","amgn","0.12","58.28","58.44",0.07,"5227063","58.44","57.89","58.35","61.53","50.26","929731000","12.12","54184722680","0",NA,"4.81"
"265","yahoo-finance","amgn","0.12","58.28","58.44",0.07,"5225005","58.44","57.89","58.35","61.53","50.26","929731000","12.11","5.418e+10","0",NA,"4.81"
"266","bloomberg","ca","1.445","23.17","22.87",0.33,"3177246","23.18","22.77","22.84","25.68","17.7","506108000","14.391","11726530000","0.05","734","1.61"
"267","google-finance","ca","1.44","23.17","22.87",0.33,"3180000","23.18","22.77","22.84","25.68","17.7","506110000","14.5","1.173e+10","0.05","0.86","1.6"
"268","msn-money","ca","1.44","23.17","22.87",0.33,"3180000","23.18","22.77","22.84","25.68","17.7","507380000","14.48","1.159e+10","0.2","0.88","1.61"
"269","nasdaq-com","ca","1.44","23.17","22.87",0.33,"3177246","23.18","22.77","22.84","25.68","17.7","506108000","14.39","11726522360","0.2","0.88","1.61"
"270","yahoo-finance","ca","1.44","23.17","22.87",0.33,"3172253","23.17","22.77","22.84","25.68","17.7","506108000","14.41","1.173e+10","0.2","0.9","1.61"
"271","bloomberg","gild","1.304","41.95","41.44",0.54,"6145425","41.97","41.38","41.41","42.93","31.73","787054000","12.712","33016930000",NA,NA,"3.3"
"272","google-finance","gild","1.3","41.95","41.44",0.54,"6140000","41.97","41.38","41.41","42.93","31.73","787050000","13.13","3.302e+10",NA,NA,"3.19"
"273","msn-money","gild","1.3","41.95","41.44",0.54,"6140000","41.97","41.38","41.41","42.93","31.73","787050000","13.11","3.259e+10",NA,NA,"3.2"
"274","nasdaq-com","gild","1.3","41.95","41.44",0.54,"6135825","41.97","41.38","41.41","42.93","31.73","787054000","13.19","33016915300",NA,NA,"3.18"
"275","yahoo-finance","gild","1.3","41.95","41.44",0.54,"6134025","41.95","41.38","41.41","42.93","31.73","787054000","13.14","3.302e+10",NA,NA,"3.19"
"276","bloomberg","symc","558","19.83","19.82",0.11,"6792906","19.885","19.71","19.72","20.5","12.04","755541000","23.058","14982380000",NA,NA,"860"
"277","google-finance","symc","0.56","19.83","19.82",0.11,"6780000","19.89","19.71","19.72","20.5","12.04","755540000","26.09","1.498e+10",NA,NA,"0.76"
"278","msn-money","symc","0.56","19.83","19.82",0.11,"6780000","19.89","19.71","19.72","20.5","12.04","755540000","26.09","1.49e+10",NA,NA,"0.76"
"279","nasdaq-com","symc","0.56","19.83","19.82",0.11,"6781157","19.885","19.71","19.72","20.5","12.04","755541000","26.09","14982378030",NA,NA,"0.76"
"280","yahoo-finance","symc","0.56","19.83","19.78",0.11,"6775197","19.89","19.71","19.72","20.5","12.04","755541000","26.09","1.498e+10",NA,NA,"0.76"
"281","bloomberg","rimm","277","28.93","28.72",0.08,"12775795","29","28.45","28.85","70.54","25.82","524096000","4.57","15162100000",NA,NA,"6.33"
"282","google-finance","rimm","0.28","28.93","28.72",0.08,"12770000","29","28.45","28.85","70.54","25.82","5.24e+08","4.59","1.516e+10",NA,NA,"6.3"
"283","msn-money","rimm","0.28","28.93","28.72",0.08,"12770000","29","28.45","28.85","70.54","25.82","524110000","4.6","1.509e+10",NA,NA,"6.31"
"284","nasdaq-com","rimm","0.28","28.93","28.72",0.08,"12773888","29","28.45","28.85","70.54","25.82","523869000","4.58","15155530170",NA,NA,"6.31"
"285","yahoo-finance","rimm","0.28","28.93","28.71",0.08,"12772888","29","28.45","28.85","70.54","25.82","524096000","4.59","1.507e+10",NA,NA,"6.3"
"286","bloomberg","amzn","2.445","209.49","205.55",5,"3979082","210.27","203.61","204.49","210.27","105.8","452043000","90.623","94698510000",NA,NA,"2.31"
"287","google-finance","amzn","2.45","209.49","205.55",5,"3980000","210.27","203.61","204.49","210.27","105.8","452040000","90.78","9.47e+10",NA,NA,"2.31"
"288","msn-money","amzn","2.45","209.49","205.55",5,"3980000","210.27","203.61","204.49","206.39","105.8","452040000","90.69","9.244e+10",NA,NA,"2.31"
"289","nasdaq-com","amzn","2.45","209.49","205.55",5,"3978982","210.27","203.61","204.49","206.39","105.8","452043000","90.69","94698488070",NA,NA,"2.31"
"290","yahoo-finance","amzn","2.45","209.49","205.16",5,"3978982","210.27","203.74","204.49","210.27","105.8","452043000","90.73","9.47e+10",NA,NA,"2.31"
"291","bloomberg","dell","1.86","16.98","16.7",0.31,"13650035","17","16.6","16.67","17","11.34","1885934000","9.872","32023170000",NA,NA,"1.72"
"292","google-finance","dell","1.86","16.98","16.7",0.31,"13650000","17","16.6","16.67","17","11.34","1.89e+09","10.17","3.202e+10",NA,NA,"1.67"
"293","msn-money","dell","1.86","16.98","16.7",0.31,"13650000","17","16.6","16.67","16.96","11.34","1.89e+09","10.17","3.144e+10",NA,NA,"1.67"
"294","nasdaq-com","dell","1.86","16.98","16.7",0.31,"13649145","17","16.6","16.67","16.96","11.34","1887170000","10.17","32044146600",NA,NA,"1.67"
"295","yahoo-finance","dell","1.86","16.98","16.68",0.31,"13649145","17","16.6","16.67","17","11.34","1.89","10.16","3.204e+10",NA,NA,"1.67"
"296","bloomberg","flex","2.804","6.6","6.45",0.18,"3868464","6.61","6.42","6.42","8.5","4.86","757991000","8.8","5002739000",NA,NA,"750"
"297","google-finance","flex","2.8","6.6","6.45",0.18,"3870000","6.61","6.42","6.42","8.5","4.86","757990000","8.71","5e+09",NA,NA,"0.76"
"298","msn-money","flex","2.8","6.6","6.45",0.18,"3870000","6.61","6.42","6.42","8.5","4.86","7.4e+08","8.8","4.75e+09",NA,NA,"0.76"
"299","nasdaq-com","flex","2.8","6.6","6.45",0.18,"3868464","6.61","6.42","6.42","8.5","4.86","758009000","8.8","5002859400",NA,NA,"0.75"
"300","yahoo-finance","flex","2.8","6.6","6.44",0.18,"3862364","6.61","6.42","6.42","8.5","4.86","757991000","8.8","5e+09",NA,NA,"0.75"
"301","bloomberg","mu","4.679","7.83","7.46",0.35,"29836277","7.85","7.37","7.48","11.95","6.36","1001471000","14.5","7841517000",NA,NA,"540"
"302","google-finance","mu","4.68","7.83","7.46",0.35,"30550000","7.85","7.37","7.48","11.95","6.36","997290000","12.75","7.81e+09",NA,NA,"0.61"
"303","msn-money","mu","4.68","7.83","7.46",0.35,"30550000","7.85","7.37","7.48","11.95","6.36","1e+09","13.05","7.49e+09",NA,NA,"0.61"
"304","nasdaq-com","mu","4.68","7.83","7.46",0.35,"30554681","7.85","7.37","7.48","11.95","6.36","1001471000","12.84","7841517930",NA,NA,"0.61"
"305","yahoo-finance","mu","4.68","7.83","7.5",0.35,"30554281","7.85","7.37","7.48","11.95","6.36","1001471000","12.37","7.82e+09",NA,NA,"0.63"
"306","bloomberg","cern","2.34","62.54","61.36",1.43,"949101","62.59","60.82","61.11","62.96","36.02","168212000","42.71","10524990000",NA,NA,"1.465"
"307","google-finance","cern","2.34","62.54","61.36",1.43,"949101","62.59","60.82","61.11","62.96","36.03","168140000","42.63","1.052e+10",NA,NA,"1.47"
"308","msn-money","cern","2.34","62.54","61.36",1.43,"949101","62.59","60.82","61.11","62.96","36.03","168210000","42.54","1.028e+10",NA,NA,"1.47"
"309","nasdaq-com","cern","2.34","62.54","61.36",1.43,"949101","62.59","60.82","61.11","62.955","36.025","168212000","42.69","10519978480",NA,NA,"1.46"
"310","yahoo-finance","cern","2.34","62.54","61.36",1.43,"949101","62.59","60.82","61.11","62.96","36.03","168212000","42.54","1.052e+10",NA,NA,"1.47"
"311","bloomberg","nwsa","2.034","18.06","17.74",0.36,"12950640","18.07","17.58","17.7","18.35","11.61","1828109000","14.683","47732380000","0.075","834","1.23"
"312","google-finance","nwsa","2.03","18.06","17.74",0.36,"12860000","18.07","17.58","17.7","18.35","11.61","2.63e+09","16.23","4.744e+10","0.08","0.83","1.11"
"313","msn-money","nwsa","2.03","18.06","17.74",0.36,"12860000","18.07","17.58","17.7","18.35","11.61","2.63e+09","16.13","4.679e+10","0.15","0.85","1.11"
"314","nasdaq-com","nwsa","2.03","18.06","17.74",0.36,"12861466","18.07","17.58","17.7","18.35","11.61","1828109000","16.27","33015648540","0.15","0.85","1.11"
"315","yahoo-finance","nwsa","2.03","18.06","17.72",0.36,"12861466","18.07","17.58","17.7","18.35","11.65","1828109000","16.12","4.744e+10","0.15","0.9","1.12"
"316","bloomberg","adsk","259","38.7","38.6",0.1,"3268365","38.89","38.44","38.6","46.15","23.64","230954000","37.573","8937927000",NA,NA,"1.03"
"317","google-finance","adsk","0.26","38.7","38.6",0.1,"3270000","38.89","38.44","38.6","46.15","23.64","230950000","37.21","8.94e+09",NA,NA,"1.04"
"318","msn-money","adsk","0.26","38.7","38.6",0.1,"3270000","38.89","38.44","38.6","46.15","23.64","230950000","37.57","8.91e+09",NA,NA,"1.04"
"319","nasdaq-com","adsk","0.26","38.7","38.6",0.1,"3268365","38.89","38.44","38.6","46.15","23.64","229803000","37.57","8893376100",NA,NA,"1.03"
"320","yahoo-finance","adsk","0.26","38.7","38.54",0.1,"3268265","38.89","38.44","38.6","46.15","23.64","230950000","37.54","8.94e+09",NA,NA,"1.03"
"321","bloomberg","adp","2.297","53.89","52.56",1.21,"2951543","53.99","52.48","52.68","55.12","38.41","499705000","21.73","26929090000","0.36","2.635","2.48"
"322","google-finance","adp","2.3","53.89","52.56",1.21,"2950000","53.99","52.48","52.68","55.12","38.41","499700000","22.02","2.693e+10","0.36","2.67","2.45"
"323","msn-money","adp","2.3","53.89","52.56",1.21,"2950000","53.99","52.48","52.68","55.12","38.41","499700000","22","2.632e+10","1.44","2.73","2.45"
"324","nasdaq-com","adp","2.3","53.89","52.56",1.21,"2951543","53.99","52.48","52.68","55.12","38.41","499705000","22","26929102450","1.44","2.73","2.45"
"325","yahoo-finance","adp","2.3","53.89","52.6",1.21,"2951143","53.99","52.48","52.68","55.12","38.41","499705000","22.01","2.693e+10","1.44","2.7","2.45"
"326","bloomberg","vrsn","1.255","33.88","33.37",0.42,"2218028","34.07","33.31","33.46","37.73","21.85","1.74e+08","61.6","5895120000","2.75","16.932","550"
"327","google-finance","vrsn","1.26","33.88","33.37",0.42,"2210000","34.07","33.31","33.46","37.73","25.73","168470000","73.91","5.71e+09","2.75","16.932","0.46"
"328","msn-money","vrsn","1.26","33.88","33.37",0.42,"2210000","34.07","33.31","33.46","37.73","25.73","168470000","70.58","5.64e+09","2.75","16.932","4.68"
"329","nasdaq-com","vrsn","1.26","33.88","33.37",0.42,"2213030","34.07","33.31","33.46","37.73","25.73","168472000","7.24","5707831360","2.75","16.932","4.68"
"330","yahoo-finance","vrsn","1.26","33.88","33.39",0.42,"2212930","34.07","33.31","33.46","37.73","25.73","168470000","7.23","5.71e+09","2.75","16.932","4.69"
"331","bloomberg","celg","928","60.88","60.75",0.56,"2460853","60.97","60.17","60.32","63.46","48.02","462801000","26.819","28175360000",NA,NA,"2.27"
"332","google-finance","celg","0.93","60.88","60.75",0.56,"2460000","60.97","60.17","60.32","63.46","48.02","462800000","31.77","2.818e+10",NA,NA,"1.92"
"333","msn-money","celg","0.93","60.88","60.75",0.56,"2460000","60.97","60.17","60.32","63.46","48.02","462800000","31.71","2.792e+10",NA,NA,"1.92"
"334","nasdaq-com","celg","0.93","60.88","60.75",0.56,"2460853","60.97","60.17","60.32","63.46","48.02","462801000","31.71","28175324880",NA,NA,"1.92"
"335","yahoo-finance","celg","0.93","60.88","60.75",0.56,"2460853","60.97","60.17","60.32","63.46","48.02","462801000","31.71","2.818e+10",NA,NA,"1.92"
"336","bloomberg","hpq","1.758","37.04","36.55",0.64,"13982129","37.13","36.34","36.4","49.39","33.95","2074156000","8.3","76951170000","0.12","970","4.47"
"337","google-finance","hpq","1.79","37.05","36.55",0.65,"14760000","37.13","36.34","36.4","49.39","33.95","2.07e+09","9.09","7.685e+10","0.12","1.3","4.08"
"338","msn-money","hpq","1.79","37.05","36.55",0.65,"14760000","37.13","36.34","36.4","49.39","33.95","2.07e+09","9.08","7.55e+10","0.48","1.32","4.08"
"339","nasdaq-com","hpq","1.77","37.045","36.55",0.645,"13515262","37.13","36.34","36.4","49.39","33.95","2074156000","9.1","76837109020","0.48","1.32","4.07"
"340","yahoo-finance","hpq","1.79","37.05","36.55",0.65,"14762354","37.13","36.34","36.4","49.39","33.95","2074156000","9.11","7.685e+10","0.48","1.4","4.07"
"341","bloomberg","alxn","1.021","47.51","46.91",0.48,"841901","47.51","46.91","47.03","52.5","24.3","183835000","81.214","8734017000",NA,NA,"585"
"342","google-finance","alxn","1.02","47.51","46.91",0.48,"841901","47.51","46.91","47.03","52.5","24.31","183840000","86.56","8.73e+09",NA,NA,"0.55"
"343","msn-money","alxn","1.02","47.51","46.91",0.48,"841901","47.51","46.91","47.03","52.5","24.31","183840000","87.17","8.65e+09",NA,NA,"0.55"
